label,condition_pair_count,transformation_count
SMILES:C1CCC([P+](CC[P+](C2CCCCC2)C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F.F[B-](F)(F)F,5,2
SMILES:CC(C)(C)P(C1CCCCC1)C1CCCCC1,5,2
SMILES:CP(C(C)(C)C)C(C)(C)C,5,2
SMILES:c1ccc(-c2cccc[c]2[Ir]([c]2ccccc2-c2ccccn2)[c]2ccccc2-c2ccccn2)nc1,5,2
NAME:c1-301,4,2
NAME:c1-308,4,2
NAME:dtbpb.bf4 / pd(oac)2,4,2
NAME:ru(cp*)4,4,2
SMILES:CCN(CC)C(=O)c1ccccc1O,4,2
SMILES:CCc1cccc(C)c1NC(=O)C(=O)O,4,2
SMILES:COCCOC.[Cl][Ni][Cl],4,2
SMILES:COc1ccnc(-c2cc(OC)ccn2)c1,4,2
SMILES:C[C@H](NC(=O)C(=O)Nc1c(C(C)(C)C)cc(C(C)(C)C)cc1C(C)(C)C)C(=O)N[C@H]1CC(=O)OC1O,4,2
SMILES:Cc1c(C)c(NC(=O)C(=O)O)c(C)c(C)c1NC(=O)C(=O)O,4,2
SMILES:Cc1cccc(C(C)(C)C)c1NC(=O)C(=O)O,4,2
SMILES:Cc1cccc(C)c1NC(=O)C(=O)O,4,2
SMILES:N#C/C(C1=N[C@@H](c2ccccc2)CO1)=C1/N[C@@H](c2ccccc2)CO1,4,2
SMILES:O=C(O)c1ccc2ccc3ccc(C(=O)O)nc3c2n1,4,2
SMILES:O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,4,2
SMILES:c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,4,2
SMILES:c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,4,2
NAME:c1-314,3,2
NAME:catacxium a pd g3,3,2
SMILES:CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C,3,2
SMILES:CC(C)NNC(=O)C(=O)NNC(C)C,3,2
SMILES:CC1C(C)C(C)C(C)C1C.COc1ccc(N=C(C)c2ccc(C#N)c[c]2[Ir][Cl])cc1,3,2
SMILES:CN(C)CCO,3,2
SMILES:CN1CCC[C@H]1C(=O)O,3,2
SMILES:COc1cc(C(=N)N)nc(C(=N)N)c1,3,2
SMILES:Cc1cc(C)c(NC(=O)C(=O)NCc2ccc3c(c2)OCO3)c(C)c1,3,2
SMILES:Cc1ccc(NC(=O)C(=O)NCc2ccc3c(c2)OCO3)c(C)c1,3,2
SMILES:Clc1cccc(Cl)c1C1=C2C=CC(=N2)C(c2c(Cl)cccc2Cl)=c2ccc3[n]2[Mn]([Cl])[n]2c1ccc2C(c1c(Cl)cccc1Cl)=C1C=CC(=N1)C=3c1c(Cl)cccc1Cl,3,2
SMILES:N#CN=C(N)c1cccc(C(N)=NC#N)n1,3,2
SMILES:N#Cc1ccc(NC(=O)C(=O)NCc2ccccc2)c(C(=O)O)c1,3,2
SMILES:O=C(O)c1cc(-c2ccccn2)nc2ccccc12,3,2
SMILES:OCCCn1cc(CN(Cc2cn(CCCO)nn2)Cc2cn(CCCO)nn2)nn1,3,2
SMILES:ON=Cc1ccccc1O,3,2
SMILES:Oc1ccc2cccc(O)c2n1,3,2
NAME:(r)-tol-sdp,2,2
NAME:(r)-xyl-sdp,2,2
NAME:(s)-xylyl-p-phos,2,2
NAME:3g oms xphos,2,2
NAME:adbrettphos g3,2,2
NAME:pcy3 pd g4,2,2
NAME:sl-j015-1,2,2
NAME:t-buxphos pd g4,2,2
NAME:xant pd g2,2,2
SMILES:C1CCC(P(C2CCCCC2)N2CCCCC2)CC1.C1CCC(P(C2CCCCC2)N2CCCCC2)CC1.[Cl][Pd][Cl],2,2
SMILES:C1CCCC1.C[C@@H](C1CCCC1c1ccccc1P(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1.[Fe],2,2
SMILES:C1CCCC1.C[C@@H](C1CCCC1c1ccccc1P(c1ccccc1)c1ccccc1)P(C1C[C@H]2CC[C@@H]1C2)C1C[C@@H]2CC[C@H]1C2.[Fe],2,2
SMILES:C1CCCC1.C[C@H](C1CCCC1P(C1CCCCC1)C1CCCCC1)P(C1CCCCC1)C1CCCCC1.[Fe],2,2
SMILES:C1CCCC1.C[C@H](C1CCCC1P(c1ccccc1)c1ccccc1)P(C(C)(C)C)C(C)(C)C.[Fe],2,2
SMILES:C1CCCC1.C[C@H](C1CCCC1P(c1ccco1)c1ccco1)P(C(C)(C)C)C(C)(C)C.[Fe],2,2
SMILES:C=C[CH2][Pd]([Cl])=[c]1n(-c2c(C)cc(C)cc2C)ccn1-c1c(C)cc(C)cc1C,2,2
SMILES:CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.NCCc1cccc[c]1[Pd][Cl],2,2
SMILES:CC(C)c1cccc(C(C)C)c1-n1ccn(-c2c(C(C)C)cccc2C(C)C)[c]1=[Pd].CC(C)c1cccc(C(C)C)c1-n1ccn(-c2c(C(C)C)cccc2C(C)C)[c]1=[Pd].O=C1CCC(=O)c2ccccc21.O=C1CCC(=O)c2ccccc21,2,2
SMILES:CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1.Clc1cccnc1.[Cl][Pd][Cl],2,2
SMILES:CC1(P(C2CCCCC2)C2CCCCC2)CC1(c1ccccc1)c1ccccc1,2,2
SMILES:CCC(CC)(C1=N[C@@H](C(C)C)CO1)C1=N[C@@H](C(C)C)CO1,2,2
SMILES:CCc1cc2ccccc2c2c1O[PH](=O)Oc1c-2cc2ccccc2c1CC,2,2
SMILES:CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,2,2
SMILES:CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,2,2
SMILES:COc1c(Cl)ccc(P(c2ccccc2)c2ccccc2)c1-c1c(P(c2ccccc2)c2ccccc2)ccc(Cl)c1OC,2,2
SMILES:COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,2,2
SMILES:COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.CS(=O)(=O)[O-].Nc1ccccc1-c1cccc[c]1[Pd+],2,2
SMILES:COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.Nc1ccccc1-c1cccc[c]1[Pd][Cl],2,2
SMILES:COc1cccc(P(c2ccccc2)c2ccccc2)c1-c1c(OC)cccc1P(c1ccccc1)c1ccccc1,2,2
SMILES:C[C@H]1CC[C@H](C)P1C1CCCC1.C[C@H]1CC[C@H](C)P1C1CCCC1.[Fe],2,2
SMILES:Cc1cc(C)cc(P(c2cc(C)cc(C)c2)C2CCCC2[C@@H](c2ccccc2)N(C)C)c1.Cc1cc(C)cc(P(c2cc(C)cc(C)c2)C2CCCC2[C@@H](c2ccccc2)N(C)C)c1.[Fe],2,2
SMILES:Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2ccc3c(c2-c2c(P(c4cc(C)cc(C)c4)c4cc(C)cc(C)c4)ccc4c2OCO4)OCO3)c1,2,2
SMILES:Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2ccc3ccccc3c2-c2c(P(c3cc(C)cc(C)c3)c3cc(C)cc(C)c3)ccc3ccccc23)c1,2,2
SMILES:Cc1ccc2[nH]c(=O)[nH]c2c1,2,2
SMILES:Cc1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,2,2
SMILES:Cc1sc(C)c(P(c2ccccc2)c2ccccc2)c1C1=C(P(c2ccccc2)c2ccccc2)[C@H]2CC[C@]1(C)C2(C)C,2,2
SMILES:FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1,2,2
SMILES:N[C@H]1c2ccccc2C[C@H]1O,2,2
SMILES:Nc1nc(O)cc(O)n1,2,2
SMILES:O=C(CC(=O)c1ccccn1)c1ccccn1,2,2
SMILES:O=C(N[C@H]1CCCC[C@@H]1NC(=O)c1ccccn1)c1ccccn1,2,2
SMILES:c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,2,2
SMILES:c1ccc(-n2cccc2P(C2CCCCC2)C2CCCCC2)cc1,2,2
SMILES:c1ccc(P(c2ccccc2)c2ccc3c(c2-c2c(P(c4ccccc4)c4ccccc4)ccc4c2OCCO4)OCCO3)cc1,2,2
SMILES:CC(=O)/C=C(/C)[O][Fe]([O]/C(C)=C\C(C)=O)[O]/C(C)=C\C(C)=O,108,1
SMILES:C1=CCCC=CCC1.C1=CCCC=CCC1.[Cl][Rh].[Cl][Rh],42,1
SMILES:CN(C)CCN(C)C.Cc1cccc[c]1[Ni][Cl],39,1
NAME:[rh(tbucp*)(cl)2]2,25,1
NAME:[rh(oh)(cod)]2,19,1
NAME:10% pd/c e101,16,1
NAME:[rh(cod)2]bf4 /(s)-phanephos,15,1
NAME:(ir[df(3cf3)ppy]2(dtbpy))pf6,11,1
NAME:(ir[df(4cf3)ppy]2(dtbpy))pf6,10,1
NAME:ir[cod(cl)]2,10,1
"NAME:ir[cod(cl)]2/(r,r)-dipamp",10,1
NAME:c1-358,9,1
SMILES:[Cl][Ru][Cl].c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,7,1
NAME:(ir[df(cf3)ppy]2(dtbpy))pf6,6,1
NAME:(r)-nauds catalys -ru,5,1
"NAME:(s,s,r,r)-tangphos",5,1
NAME:[rucl2(pph3)3],5,1
"NAME:n,n-dtschn",5,1
NAME:pd(tfa)2,5,1
NAME:rh(cod)2otf,5,1
SMILES:O=C([O][Pd][O]C(=O)C(F)(F)F)C(F)(F)F,5,1
SMILES:c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,5,1
